researcher_name,researcher_title,researcher_company,core_domain,research_cluster,linkedin_url,google_scholar,total_publications
Kerrick Staley,Machine Learning at Anthropic,Anthropic,"Kerrick Staley's primary research focus lies in the development and application of machine learning techniques, particularly in the context of game theory and semantic understanding through behavioral interactions. His work at Anthropic suggests a strong involvement in advancing AI safety and alignment research.","""AI Safety & Semantic Understanding""",https://www.linkedin.com/in/kerrick-staley-26550b58,https://scholar.google.com/scholar?q=Kerrick+Staley,2
Newton Cheng,"Frontier Red Team, Cyber Lead at Anthropic",Anthropic,"Newton Cheng's primary research focus lies at the intersection of quantum information theory and its applications to holography, with a particular emphasis on understanding entropy measures and error correction in quantum systems.",Quantum Information Theory & Holography,https://www.linkedin.com/in/newton-cheng-71084a16b,https://scholar.google.com/scholar?q=Newton+Cheng,4
Ouail Kitouni,Researcher,Anthropic,"Ouail Kitouni's primary research focus is on developing and understanding advanced neural network architectures and methodologies, particularly in the context of representation learning and robust model design. His work spans the exploration of novel network structures and the theoretical underpinnings of machine learning models.",Neural Network Architecture & Representation Learning,https://www.linkedin.com/in/ouail-kitouni-645804187,https://scholar.google.com/scholar?q=Ouail+Kitouni,7
Michael Stern,Research Scientist @ Anthropic,Anthropic,Michael Stern's primary research focus is on addressing algorithmic bias and enhancing cybersecurity measures within AI systems. His work is particularly oriented towards understanding and mitigating the unintended consequences of AI deployment in sensitive domains.,"""AI Ethics & Security""",https://www.linkedin.com/in/michael-stern-a2b29b4b,https://scholar.google.com/scholar?q=Michael+Stern,2
Mizhaan Maniyar,Mainly math & music | IIT Madras,Google DeepMind,"Mizhaan Maniyar primarily focuses on the intersection of reinforcement learning and applied algorithmic solutions, particularly in optimizing decision-making processes in real-world applications such as mobile health and policy optimization.",Reinforcement Learning & Algorithmic Decision-Making,https://www.linkedin.com/in/mizhaan,https://scholar.google.com/scholar?q=Mizhaan+Maniyar,2
Alex Bäuerle,HCI/VIS + ML,Google DeepMind,"Alex Bäuerle's primary research focus is on the intersection of Human-Computer Interaction (HCI), data visualization, and machine learning, particularly in developing tools and methodologies that enhance the interpretability and usability of complex machine learning models.","""Multimodal AI & Vision""",https://www.linkedin.com/in/alex-bauerle,https://scholar.google.com/scholar?q=Alex+Bäuerle,6
Yury Malkov,AI/ML researcher. Author of HNSW,Google DeepMind,"Yury Malkov's primary research focus is on developing efficient algorithms for approximate nearest neighbor search, particularly through the use of graph-based methods like Hierarchical Navigable Small World (HNSW) graphs. His work is centered on optimizing data retrieval processes in high-dimensional spaces, which is crucial for various AI and machine learning applications.","""Efficient Algorithms & Data Structures""",https://www.linkedin.com/in/yury-malkov-b6597382,https://scholar.google.com/scholar?q=Yury+Malkov,4
Ken Liu,"PhD @ Stanford AI Lab. Prev DeepMind, CMU.",Stanford Artificial Intelligence Laboratory (SAIL),"Ken Liu's primary research focus is on reinforcement learning and its applications in complex decision-making systems, with a particular emphasis on integrating multimodal AI approaches to enhance learning efficiency and adaptability.",Reinforcement Learning & Multimodal AI,https://www.linkedin.com/in/kenziyuliu,https://scholar.google.com/scholar?q=Ken+Liu,1
Cheng Bo,Machine Learning Engineer at Google DeepMind,Google DeepMind,"Cheng Bo's primary research focus is on privacy-preserving technologies and wireless network monitoring, with a particular emphasis on developing innovative solutions for privacy concerns in digital environments and analyzing wireless communication protocols.",Privacy-Preserving Technologies & Wireless Network Monitoring,https://www.linkedin.com/in/cheng-bo-0171b91b,https://scholar.google.com/scholar?q=Cheng+Bo,3
Naman Goyal,"ML - Deep Research, Google DeepMind | MS CS, Columbia | Prev - Apple, NVIDIA",Google DeepMind,Naman Goyal's primary research focus lies in the intersection of graph neural networks (GNNs) and their applications in image classification and reinforcement learning. His work emphasizes leveraging graph representations to enhance the performance and capabilities of AI models in these domains.,Graph Neural Networks & Reinforcement Learning,https://www.linkedin.com/in/goyal-naman,https://scholar.google.com/scholar?q=Naman+Goyal,1
Marko Vasic,GenAI at Google,Google DeepMind,"Marko Vasic primarily focuses on the intersection of molecular programming and artificial intelligence, with a particular emphasis on leveraging chemical reaction networks for computational tasks and neural program repair.",Code Generation & Program Synthesis,https://www.linkedin.com/in/marko-vasic-a62a0168,https://scholar.google.com/scholar?q=Marko+Vasic,6
Andrew Dai,Gemini Data Area Lead - Research scientist (director) @ Google Deepmind - Synthetic data colead,Google DeepMind,"Andrew Dai's primary research focus is on natural language processing (NLP) and machine learning, particularly in the areas of sequence learning and generative models. His work often explores the intersection of deep learning techniques and language generation.",LLM Training & Alignment,https://www.linkedin.com/in/andrewdai,https://scholar.google.com/scholar?q=Andrew+Dai,2
Krishna Sahith Poruri,"AI/ML Engineer | 3+ yrs in Generative AI, LLMs (GPT-4, RAG) & MLOps | PyTorch, Hugging Face, Airflow, MLflow | AWS, Azure, GCP | Building Scalable & Responsible AI Solutions",Anthropic,"Krishna Sahith Poruri primarily focuses on the development and deployment of Generative AI and Large Language Models (LLMs), with a strong emphasis on MLOps and scalable AI solutions. His work involves leveraging state-of-the-art models like GPT-4 and Retrieval-Augmented Generation (RAG) to create responsible AI systems.",LLM Training & Alignment,https://www.linkedin.com/in/krishna-sahith-poruri-5b0a68174,https://scholar.google.com/scholar?q=Krishna+Sahith+Poruri,1
Pushkar Mishra,"Tech Lead Manager on GenAI, Google DeepMind",Google DeepMind,"Pushkar Mishra's primary research focus lies in the intersection of natural language processing (NLP) and machine learning, with a particular emphasis on automated detection systems for online content, including fake news and abusive language. His work also extends into graph-based modeling and meta-learning techniques.",Multimodal AI & Vision,https://www.linkedin.com/in/pushkarmishra96,https://scholar.google.com/scholar?q=Pushkar+Mishra,10
Fuzhao Xue,Large Language Model Researcher | HomePage (xuefuzhao.github.io),Google DeepMind,"Fuzhao Xue's primary research focus is on the development and enhancement of language models, with a specialization in dialogue systems and relation extraction. His work spans across various applications of deep learning techniques to improve speech recognition and speaker identification.",Multimodal AI & Vision,https://www.linkedin.com/in/fuzhao-xue-6410561a6,https://scholar.google.com/scholar?q=Fuzhao+Xue,7
Chen Sun,"Research Scientist @Google DeepMind || previous: Mila, MIT, Univ. of Cambridge, IMO",Google DeepMind,"Chen Sun's primary research focus is on the neural mechanisms underlying memory formation and retrieval, particularly how specific neural circuits in the hippocampus and entorhinal cortex contribute to episodic memory and context-specific learning.",Neuroscience & Memory Systems,https://www.linkedin.com/in/chen-sun-a9254766,https://scholar.google.com/scholar?q=Chen+Sun,5
Priyank Jaini,"Research Scientist, Google DeepMind",Google DeepMind,"Priyank Jaini primarily focuses on probabilistic modeling and online learning algorithms, with a particular emphasis on Bayesian methods and their applications in sequential data modeling and network systems.",Probabilistic Modeling & Online Learning,https://www.linkedin.com/in/priyank-jaini-7b397075,https://scholar.google.com/scholar?q=Priyank+Jaini,5
Jonas Pfeiffer,Research Scientist at Google DeepMind,Google DeepMind,Jonas Pfeiffer primarily focuses on enhancing the adaptability and efficiency of multilingual and multitask language models through modular and adapter-based approaches. His work aims to address the challenges of multilinguality and cross-lingual transfer in natural language processing (NLP).,LLM Training & Alignment,https://www.linkedin.com/in/jonas-pfeiffer,https://scholar.google.com/scholar?q=Jonas+Pfeiffer,7
Andrew Vold,Bringing innovation and creativity to the field of artificial intelligence,Google DeepMind,"Andrew Vold's primary research focus is on the application of advanced AI techniques to the legal domain, particularly in improving information extraction, document classification, and answer retrieval for legal questions. His work also extends to leveraging deep learning methods for scientific applications, such as particle physics.",Multimodal AI & Legal Informatics,https://www.linkedin.com/in/andrew-vold-a7b304127,https://scholar.google.com/scholar?q=Andrew+Vold,4
Adarsh Priyadarshi,Software Engineer | Java | Spring Boot | Python | Data Science | Machine Learning | Researcher - AI & Blockchain | Security | AWS | Backend Engineering,Cohere,"Adarsh Priyadarshi's primary research focus lies at the intersection of artificial intelligence and blockchain technology, with a particular emphasis on leveraging these technologies for security and data validation applications.","""AI & Blockchain Integration for Security and Validation""",https://www.linkedin.com/in/adarsh-priyadarshi-ba88a4165,https://scholar.google.com/scholar?q=Adarsh+Priyadarshi,1
Shamus Sim,AI/ML Engineer | Medical AI | BEng Imperial,Princeton University,"Shamus Sim primarily focuses on the intersection of artificial intelligence and healthcare, with a specialization in enhancing medical applications through advanced machine learning techniques, particularly in the context of large language models (LLMs) and efficient model fine-tuning.",LLM Training & Alignment,https://www.linkedin.com/in/shamus-sim-13627719a,https://scholar.google.com/scholar?q=Shamus+Sim,2
Vikas Mehta,"MLE @ Cohere health | MS CS at Umass, Amherst",Cohere Health,"Vikas Mehta's primary research focus is on image processing and computer vision, particularly in the area of image forgery detection using advanced feature extraction techniques.",Computer Vision & Image Processing,https://www.linkedin.com/in/vikas-mehta-b67385169,https://scholar.google.com/scholar?q=Vikas+Mehta,1
Adwait Patil,MLE @ Cohere Health | Master’s in Data Science | Khoury College of Computer Sciences | Machine learning enthusiast,Cohere Health,"Adwait Patil's primary research focus lies in applying machine learning techniques to healthcare and cognitive science challenges, with a particular emphasis on classification and detection methodologies using diverse data modalities.",Multimodal AI & Health Informatics,https://www.linkedin.com/in/adwait-patil-b8771815b,https://scholar.google.com/scholar?q=Adwait+Patil,5
Weiru Chen,Machine Learning Engineer at Cohere Health,Cohere Health,"Weiru Chen's primary research focus appears to be in the field of mathematical and computational analysis, with a particular interest in the intersection of classical mathematics and computational techniques, as evidenced by their work on partitions of integers and spatial statistics.",Mathematical Analysis & Computational Geometry,https://www.linkedin.com/in/weiru-chen-315571102,https://scholar.google.com/scholar?q=Weiru+Chen,2
Bharat Venkitesh,Machine Learning at Cohere,Cohere,Bharat Venkitesh primarily focuses on advancing large language models (LLMs) with a particular emphasis on multilingual capabilities and efficient model architectures. His work at Cohere involves developing innovative strategies for improving model performance and accessibility across diverse languages.,LLM Training & Alignment,https://www.linkedin.com/in/bharat-venkitesh-92350671,https://scholar.google.com/scholar?q=Bharat+Venkitesh,10
Vlad Shmyhlo,Machine Learning Engineer,Cohere,"Vlad Shmyhlo's primary research focus and specialization appear to be in the area of code quality and software engineering practices, particularly as they relate to machine learning and AI development environments.",Code Generation & Program Synthesis,https://www.linkedin.com/in/vshmyhlo,https://scholar.google.com/scholar?q=Vlad+Shmyhlo,1
Christopher de Freitas,ML @ Cohere Health,Cohere Health,"Christopher de Freitas primarily focuses on the intersection of machine learning and interdisciplinary applications, particularly in the context of social computing and communication technologies.",Social Computing & Communication Technologies,https://www.linkedin.com/in/christopher-de-freitas-55253a177,https://scholar.google.com/scholar?q=Christopher+de+Freitas,2
Beyza Ermis,Research Scientist @Cohere,Cohere,Beyza Ermis primarily focuses on tensor factorization techniques and their applications in scalable data processing and link prediction within heterogeneous datasets. Her work involves developing advanced mathematical models to improve the efficiency and scalability of data analysis methods.,Tensor Factorization & Scalable Data Processing,https://www.linkedin.com/in/beyza-ermis-779b491b,https://scholar.google.com/scholar?q=Beyza+Ermis,2
Julien Denize,Software and ML Engineer | PhD in Deep Learning | Aspiring Full-Stack developer,Mistral AI,"Julien Denize's primary research focus is on computer vision, particularly in the context of sports analytics and self-supervised learning. His work involves developing methodologies for action recognition and object discovery using deep learning techniques.",Multimodal AI & Vision,https://www.linkedin.com/in/julien-denize,https://scholar.google.com/scholar?q=Julien+Denize,6
Khyathi Chandu,"Ph.D, Multimodal LLMs @ Mistral AI | Prev @AI2, Meta, Google, Apple | Ph.D. @CMU | Rising Stars @UCB 2020",Mistral AI,"Khyathi Chandu's primary research focus is on multimodal large language models (LLMs), with a specialization in understanding and processing code-switched text, which involves integrating linguistic insights into AI models to handle multilingual and multimodal data effectively.",Multimodal AI & Vision,https://www.linkedin.com/in/khyathi-chandu-22871877,https://scholar.google.com/scholar?q=Khyathi+Chandu,10
Michał Zawalski,Senior AI Researcher at NVIDIA,NVIDIA,"Michał Zawalski primarily focuses on advancing reinforcement learning techniques, particularly in the context of robotic control and multi-agent systems. His work emphasizes the development of innovative methodologies for complex reasoning and planning in AI systems.",Reinforcement Learning & Robotics,https://www.linkedin.com/in/michał-zawalski-6a67bb172,https://scholar.google.com/scholar?q=Michał+Zawalski,4
Alex Richards,Tech Lead (NVIDIA Inference Microservices - NeMo Retriever),NVIDIA,"Alex Richards primarily focuses on AI systems for inference and retrieval, particularly in the context of scalable and distributed systems for real-time applications. His work bridges the gap between AI model deployment and practical applications in traffic systems and recommendation engines.","""Scalable AI Systems & Inference""",https://www.linkedin.com/in/alex-jeffrey-richards,https://scholar.google.com/scholar?q=Alex+Richards,2
Mohamed Hassan,Senior Research Scientist at NVIDIA,NVIDIA,"Mohamed Hassan's primary research focus is on hardware and architectural support for enhancing security and performance in computing systems, with an emphasis on memory safety, privacy-preserving computations, and hardware acceleration for complex simulations.","""Hardware Security & Acceleration""",https://www.linkedin.com/in/mohamed-hassan-2542421b,https://scholar.google.com/scholar?q=Mohamed+Hassan,10
Steve Dai,Research Scientist at NVIDIA,NVIDIA,"Steve Dai's primary research focus is on high-level synthesis (HLS) for FPGAs, emphasizing the development of machine learning techniques to improve the efficiency and accuracy of synthesis processes. His work aims to optimize resource allocation and scheduling in FPGA design, making it more accessible and effective for software developers.",Code Generation & Program Synthesis,https://www.linkedin.com/in/steve-dai,https://scholar.google.com/scholar?q=Steve+Dai,8
Gil Levi,AI @ Nvidia,NVIDIA,"Gil Levi's primary research focus is on computer vision and machine learning, with a particular emphasis on developing efficient algorithms for image and video analysis, as well as exploring innovative methods for data representation and processing.",Multimodal AI & Vision,https://www.linkedin.com/in/gillevi,https://scholar.google.com/scholar?q=Gil+Levi,7
Yoonwoo Jeong,3D Vision Researcher; NVIDIA Taiwan Intern,NVIDIA Taiwan,"Yoonwoo Jeong primarily focuses on 3D vision and novel view synthesis, with a strong emphasis on developing robust methods for dynamic scene understanding and perception using advanced computational techniques.",Multimodal AI & Vision,https://www.linkedin.com/in/yoonwoo-jeong-6994ab185,https://scholar.google.com/scholar?q=Yoonwoo+Jeong,9
Itay Levy,Deep Learning Researcher at NVIDIA,NVIDIA,Itay Levy primarily focuses on enhancing the capabilities of large language models (LLMs) with a particular emphasis on improving in-context learning and compositional generalization through diverse demonstrations.,LLM Training & Alignment,https://www.linkedin.com/in/itay-levy-cs,https://scholar.google.com/scholar?q=Itay+Levy,1
Tomer R.,Deep Learning Researcher,NVIDIA,"Tomer R. primarily focuses on advancing computer vision techniques, particularly through the development and optimization of deep learning models like Vision Transformers. His work emphasizes efficient model scaling and tokenization strategies to improve performance in visual recognition tasks.",Multimodal AI & Vision,https://www.linkedin.com/in/tomerronen,https://scholar.google.com/scholar?q=Tomer+R.,2
David Acuna,Senior Research Scientist at NVIDIA,NVIDIA,"David Acuna primarily focuses on computer vision, specifically in semantic segmentation, synthetic data generation, and urban modeling. His work often intersects with the development of novel deep learning architectures and methodologies for improving the accuracy and efficiency of visual perception systems.",Multimodal AI & Vision,https://www.linkedin.com/in/david-acuna-200172133,https://scholar.google.com/scholar?q=David+Acuna,10
Ryan Prenger,Senior Deep Learning Researcher at NVIDIA,NVIDIA,"Ryan Prenger primarily focuses on speech recognition and deep learning, with significant contributions to end-to-end speech recognition systems. His work is centered around developing scalable and efficient neural network architectures for processing and understanding human speech.",Speech Recognition & Deep Learning,https://www.linkedin.com/in/ryan-prenger-18797ba1,https://scholar.google.com/scholar?q=Ryan+Prenger,5
Ido Galil,Deep Learning Researcher at NVIDIA | PhD in CS (Technion),NVIDIA,"Ido Galil's primary research focus is on enhancing the efficiency and reasoning capabilities of large language models (LLMs), with a particular emphasis on optimizing inference processes and understanding the mechanistic aspects of model components.",LLM Training & Optimization,https://www.linkedin.com/in/ido-galil,https://scholar.google.com/scholar?q=Ido+Galil,8
Seonjin Na,Senior High Performance AI Engineer at NVIDIA | HW-SW Co-Design for Efficient and Scalable AI Training/Inference,NVIDIA,"Seonjin Na's primary research focus is on the hardware-software co-design for efficient and scalable AI training and inference, particularly in the context of GPU architectures and memory management. His work aims to optimize the performance and security of AI systems by improving the interaction between hardware capabilities and software demands.","""AI Systems & Hardware Optimization""",https://www.linkedin.com/in/seonjin-na-135b65119,https://scholar.google.com/scholar?q=Seonjin+Na,10
M. Rupesh Kumar,Applied AI Engineer @ Nvidia | Ex-Krutrim | MS(R) IIT-Delhi’24 | LLM | Generative AI | Multi Agent Autonomous systems | Conversational AI | NLP |,NVIDIA,"M. Rupesh Kumar's primary research focus lies in the intersection of generative AI and autonomous systems, with a strong emphasis on leveraging multimodal AI techniques to enhance conversational AI and NLP applications.",Multimodal AI & Vision,https://www.linkedin.com/in/m-rupesh-kumar-90b823169,https://scholar.google.com/scholar?q=M.+Rupesh+Kumar,2
Grace Lam,"Principal AI Research Engineer @ NVIDIA | ex-DeepMind, MIT, Stanford",NVIDIA,"Grace Lam's primary research focus is on developing advanced AI models that integrate vision, language, and action, with a strong emphasis on multimodal AI systems and their applications in physical environments.",Multimodal AI & Vision,https://www.linkedin.com/in/grace-lam,https://scholar.google.com/scholar?q=Grace+Lam,7
