researcher_name,researcher_title,researcher_company,core_domain,research_cluster,linkedin_url,google_scholar,total_publications
Alireza Makhzani,Research Scientist at Google DeepMind,Google DeepMind,"Alireza Makhzani primarily focuses on generative models and unsupervised learning, with a strong emphasis on developing innovative neural network architectures and algorithms that enhance the efficiency and capability of machine learning systems.","""Generative Models & Unsupervised Learning""",https://www.linkedin.com/in/amakhzani,,0
Wittawat Jitkrittum,Research Scientist at Google,Google DeepMind,"Wittawat Jitkrittum primarily focuses on the intersection of theoretical and practical machine learning, with a strong emphasis on kernel methods, nonparametric statistical tests, and their applications in deep learning and generative models.",Statistical Machine Learning & Model Evaluation,https://www.linkedin.com/in/wittawat-jitkrittum,https://scholar.google.com/scholar?q=Wittawat+Jitkrittum,10
Eliot Hijano,AI and ML,Google DeepMind,"Eliot Hijano's primary research focus is on the intersection of theoretical physics and machine learning, particularly exploring the mathematical structures and geometries underlying quantum field theories and their applications in AI and data science.",Theoretical Physics & Quantum Information,https://www.linkedin.com/in/ehijano,https://scholar.google.com/scholar?q=Eliot+Hijano,10
Will Dabney,Research Team Lead at DeepMind,DeepMind,"Will Dabney primarily focuses on reinforcement learning, with a strong emphasis on developing and refining algorithms for temporal difference learning and actor-critic methods. His work often bridges theoretical advancements with practical implementations in machine learning systems.",Reinforcement Learning & Robotics,https://www.linkedin.com/in/will-dabney-743377ba,https://scholar.google.com/scholar?q=Will+Dabney,4
Aditi Chaudhary,Research Scientist,Google DeepMind,"Aditi Chaudhary's primary research focus is on Natural Language Processing (NLP) with a specialization in handling low-resource languages, leveraging machine learning techniques to enhance language understanding and information retrieval.",Natural Language Processing & Low-Resource Language Technologies,https://www.linkedin.com/in/aditi-chaudhary,https://scholar.google.com/scholar?q=Aditi+Chaudhary,2
Devendra Singh Sachan,Google DeepMind,Google DeepMind,"Devendra Singh Sachan primarily focuses on Machine Learning and Natural Language Processing, with a particular interest in how pre-trained models and multimodal data can enhance tasks such as neural machine translation and video classification.",Multimodal AI & Vision,https://www.linkedin.com/in/devendra-singh-sachan-72985216,https://scholar.google.com/scholar?q=Devendra+Singh+Sachan,4
Ashkan Khakzar,Thinking about thinking,Google DeepMind,"Ashkan Khakzar primarily focuses on explainable AI (XAI) and its applications in medical imaging, particularly in understanding and interpreting neural network predictions in the context of healthcare diagnostics.",Multimodal AI & Vision,https://www.linkedin.com/in/ashkankhakzar,https://scholar.google.com/scholar?q=Ashkan+Khakzar,10
Shixiang Shane Gu,Senior Staff Research Scientist at Google DeepMind,Google DeepMind,"Shixiang Shane Gu's primary research focus is on developing sample-efficient reinforcement learning (RL) methods that can be effectively applied to complex continuous control problems, particularly in the context of robotics and probabilistic machine learning.",Reinforcement Learning & Robotics,https://www.linkedin.com/in/shixiang-shane-gu-91084129,https://scholar.google.com/scholar?q=Shixiang+Shane+Gu,10
Shrinu Kushagra,Learning about stuff,Google DeepMind,"Shrinu Kushagra's primary research focus lies in clustering algorithms and dimensionality reduction techniques, with a strong emphasis on developing methods that can handle real-world data complexities such as noise and high dimensionality.","""Algorithmic Development & Data Processing""",https://www.linkedin.com/in/shrinu-kushagra-1ab73731,https://scholar.google.com/scholar?q=Shrinu+Kushagra,5
Angelica Chen,"PhD in ML from NYU, research scientist @ Google DeepMind",Google DeepMind,"Angelica Chen's primary research focus is on deep learning for natural language processing, with a specialization in generating logical forms and reasoning from text and incomplete information.",Multimodal AI & Vision,https://www.linkedin.com/in/angelicachen,https://scholar.google.com/scholar?q=Angelica+Chen,4
Long Zhao,Senior Research Scientist at Google DeepMind,Google DeepMind,"Long Zhao's primary research focus is on developing and enhancing large vision foundation models and generative models, with a strong emphasis on multimodal AI and self-supervised learning techniques. His work aims to advance machine perception through innovative methodologies in video-language integration and contextualized recognition systems.",Multimodal AI & Vision,https://www.linkedin.com/in/garyzhao9012,https://scholar.google.com/citations?user=YTyBTmgAAAAJ,0
Andrew Rosenberg,Research Scientist at Meta Superintelligence Lab,Meta,"Andrew Rosenberg's primary research focus is on advancing the fields of speech recognition and synthesis, with a strong emphasis on integrating these technologies into natural language processing systems to enhance spoken language understanding and interaction.",Spoken Language Processing & NLP,https://www.linkedin.com/in/anrosenberg,,0
Richard Evans,Research Scientist at DeepMind,DeepMind,Richard Evans primarily focuses on developing advanced AI systems with a specialization in reinforcement learning and machine learning applications in robotics and machine vision.,Reinforcement Learning & Robotics,https://www.linkedin.com/in/richard-evans-b3b43854,,0
Martina Zambelli,"Research Scientist at Google DeepMind, Co-founder of the Mediterranean Machine Learning (M2L) school",Google DeepMind,"Martina Zambelli primarily focuses on the intersection of robotics and multimodal AI, with an emphasis on developing cognitive architectures and sensorimotor representations that enable robots to interact intelligently with their environments.",Multimodal AI & Robotics,https://www.linkedin.com/in/martina-zambelli-58013768,https://scholar.google.com/scholar?q=Martina+Zambelli,5
Ivan Vulić,Research Scientist at Google DeepMind,Google DeepMind,"Ivan Vulić primarily focuses on natural language processing (NLP) and machine learning (ML), with a strong emphasis on cross-lingual, multilingual, and conversational AI technologies.",Multilingual NLP & Conversational AI,https://www.linkedin.com/in/ivan-vulić-286b4a81,https://scholar.google.com/scholar?q=Ivan+Vulić,1
Léonard Berrada,Staff Research Scientist at Google DeepMind,Google DeepMind,"Léonard Berrada's primary research focus is on neural network optimization and training methodologies, with a specialization in developing efficient algorithms and loss functions to enhance the performance and reliability of large-scale neural networks.",LLM Training & Optimization,https://www.linkedin.com/in/leonardberrada,https://scholar.google.com/scholar?q=Léonard+Berrada,4
Ryan Burnell,Staff Research Scientist at Google DeepMind,Google DeepMind,"Ryan Burnell's primary research focus is on integrating cognitive science principles to enhance the development of AI systems that are more capable, safe, and robust. His work aims to understand and leverage human cognitive processes to improve AI evaluation and functionality.",Cognitive Science & AI Evaluation,https://www.linkedin.com/in/ryan-burnell-4a008ba4,https://scholar.google.com/scholar?q=Ryan+Burnell,6
Kyle Kastner,speech research for all,Google DeepMind,"Kyle Kastner's primary research focus is on the intersection of speech processing and machine learning, with a particular emphasis on integrating computational techniques with music and audio analysis.",Multimodal AI & Vision,https://www.linkedin.com/in/kyle-kastner-4a160524,https://scholar.google.com/scholar?q=Kyle+Kastner,1
Songyou Peng,Research Scientist at Google DeepMind,Google DeepMind,"Songyou Peng primarily focuses on computer vision and 3D reconstruction, with a specialization in developing novel methodologies for depth estimation, implicit representations, and photometric techniques.",Multimodal AI & Vision,https://www.linkedin.com/in/songyou-peng-53717648,https://scholar.google.com/scholar?q=Songyou+Peng,5
Junkyung Kim,Senior Research Scientist at DeepMind,Google DeepMind,Junkyung Kim's primary research focus is on developing advanced AI systems that integrate visual intelligence and cognitive science principles to enhance robotics and embodied reasoning agents. His work aims to bridge the gap between perception and reasoning in AI through innovative neural network architectures and methodologies.,Multimodal AI & Vision,https://www.linkedin.com/in/junkyung-kim-b99585a4,https://scholar.google.com/scholar?q=Junkyung+Kim,7
Azade Nova,Senior Research Scientist at Google DeepMind,DeepMind,"Azade Nova's primary research focus lies in the intersection of social network analysis and information retrieval systems, with a specialization in developing methodologies for querying and extracting insights from online community networks.","""Social Network Analysis & Information Retrieval""",https://www.linkedin.com/in/azade-nova-bb347763,https://scholar.google.com/scholar?q=Azade+Nova,8
Nitish Gupta,Senior Research Scientist at Google DeepMind,Google DeepMind,"Nitish Gupta's primary research focus is on Natural Language Processing (NLP) and Machine Learning, with a particular emphasis on developing models and techniques that enhance language understanding and generation.",LLM Training & Alignment,https://www.linkedin.com/in/nitish-gupta-8bbb71130,,0
Mislav Balunović,Senior Research Scientist at Google DeepMind,Google DeepMind,Mislav Balunović's primary research focus is on enhancing the mathematical reasoning and theorem proving capabilities of large language models (LLMs). His work is particularly centered on developing benchmarks and methodologies to evaluate and improve the performance of AI systems in solving complex mathematical problems.,LLM Training & Alignment,https://www.linkedin.com/in/mislav-balunović-918911a2,,0
Yuma Koizumi,Google DeepMind - Staff Research Scientist,Google DeepMind,"Yuma Koizumi's primary research focus is on acoustic and speech signal processing, with a specialization in deep learning applications for speech enhancement and sound anomaly detection.",Acoustic Signal Processing & Deep Learning,https://www.linkedin.com/in/yuma-koizumi-078661176,https://scholar.google.com/scholar?q=Yuma+Koizumi,3
Raia Hadsell,VP of Research at Google DeepMind,Google DeepMind,"Raia Hadsell's primary research focus is on the intersection of deep learning and reinforcement learning, particularly in the context of robotics. She leverages principles from neuroscience to develop algorithms that enable robots to learn and adapt autonomously.",Reinforcement Learning & Robotics,https://www.linkedin.com/in/raia-hadsell-35400266,,0
Noveen Sachdeva,"Senior Research Scientist, Google DeepMind",Google DeepMind,"Noveen Sachdeva primarily focuses on the intersection of machine learning and causal inference, with a specialization in developing methods for counterfactual reasoning and its applications in information retrieval and recommender systems.",Causal Inference & Recommender Systems,https://www.linkedin.com/in/noveen-sachdeva-b52622144,,0
Robert Geirhos,Senior Research Scientist at Google DeepMind | PhD in ML from University of Tübingen,Google DeepMind,"Robert Geirhos primarily focuses on out-of-distribution robustness and visual perception in deep learning, with a strong emphasis on interpretability and challenging fundamental assumptions in machine learning models.",Multimodal AI & Vision,https://www.linkedin.com/in/rgeirhos,https://scholar.google.com/scholar?q=Robert+Geirhos,1
Haydn Belfield,Senior Research Scientist (Frontier Planning) at Google DeepMind,Google DeepMind,"Haydn Belfield's primary research focus is on the governance and safety of advanced AI systems, particularly in the context of Artificial General Intelligence (AGI) and its societal implications. His work involves strategic planning and advising on the potential risks and ethical considerations associated with frontier AI technologies.",AI Safety & Governance,https://www.linkedin.com/in/haydnbelfield,https://scholar.google.com/scholar?q=Haydn+Belfield,3
Roland Zimmermann,Senior Research Scientist Google DeepMind,Google DeepMind,"Roland Zimmermann primarily focuses on the intersection of computer vision and machine learning, with a particular emphasis on understanding and improving the robustness and interpretability of neural networks.",Multimodal AI & Vision,https://www.linkedin.com/in/roland-zimmermann-0a014314a,,0
Jonathan Richens,Research scientist (AI Safety),DeepMind,"Jonathan Richens primarily focuses on the integration of causal inference with machine learning, particularly in the context of medical applications. His work emphasizes the development of techniques that leverage causal and counterfactual reasoning to enhance learning, planning, and decision-making processes.",Causal Inference & Machine Learning in Healthcare,https://www.linkedin.com/in/jonathan-richens-1754657a,https://scholar.google.com/scholar?q=Jonathan+Richens,10
